Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
30 Seconds to Mars Signed Guitar,30-seconds-to-mars-signed-guitar,<p><strong> – Signed Guitar</strong></p><p>Gallery includes instrument photos followed by COA images.</p>,Heal The World,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Guitars,Signed Guitar,"30 Seconds to Mars; Gibson Epiphone; Junior, category:guitars",True,Active,GTR-0002,,,,,,,,,,,40000.0,,,True,,,,,,shopify,1.0,DENY,,,True,manual,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-13%20-%2030%20Seconds%20to%20Mars%20-%2019a7ebe2/IMG_0378.jpeg,1,– Signed Guitar,,False,Signed Guitar,,,,,,,,,,,,,,,
,30-seconds-to-mars-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-13%20-%2030%20Seconds%20to%20Mars%20-%2019a7ebe2/IMG_0379.jpeg,2,– Signed Guitar,,,,,,,,,,,,,,,,,,
,30-seconds-to-mars-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-13%20-%2030%20Seconds%20to%20Mars%20-%2019a7ebe2/IMG_0380.jpeg,3,– Signed Guitar,,,,,,,,,,,,,,,,,,
,30-seconds-to-mars-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-13%20-%2030%20Seconds%20to%20Mars%20-%2019a7ebe2/IMG_0381.jpeg,4,– Signed Guitar,,,,,,,,,,,,,,,,,,
,30-seconds-to-mars-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars-coa-jpg/pictures/2025-11-18%20-%2030%20seconds%20to%20Mars%20-%2019a97d6f/doc20251118103845_page1.jpg,5,– Signed Guitar,,,,,,,,,,,,,,,,,,
,30-seconds-to-mars-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars-coa-jpg/pictures/2025-11-18%20-%2030%20seconds%20to%20Mars%20-%2019a97d6f/doc20251118103845_page2.jpg,6,– Signed Guitar,,,,,,,,,,,,,,,,,,
80's Hair Bands Signed Guitar,80-s-hair-bands-signed-guitar,<p><strong> – Signed Guitar</strong></p><p>Gallery includes instrument photos followed by COA images.</p>,Heal The World,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Guitars,Signed Guitar,"80's Hair Bands; Gibson Epiphone; Junior, category:guitars",True,Active,GTR-0003,,,,,,,,,,,10000.0,,,True,,,,,,shopify,1.0,DENY,,,True,manual,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-13%20-%2080s%20Hair%20Bands%20%28multiple%29%20%232%20-%2019a7ec52/IMG_0382.jpeg,1,– Signed Guitar,,False,Signed Guitar,,,,,,,,,,,,,,,
,80-s-hair-bands-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-13%20-%2080s%20Hair%20Bands%20%28multiple%29%20%232%20-%2019a7ec52/IMG_0383.jpeg,2,– Signed Guitar,,,,,,,,,,,,,,,,,,
AC/DC Signed Guitar,ac-dc-signed-guitar,<p><strong> – Signed Guitar</strong></p><p>Gallery includes instrument photos followed by COA images.</p>,Heal The World,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Guitars,Signed Guitar,"AC/DC; Gibson; Epiphone SG Special, category:guitars",True,Active,GTR-0004,,,,,,,,,,,50000.0,,,True,,,,,,shopify,1.0,DENY,,,True,manual,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-07%20-%20AC_DC%20-%2019a60310/IMG_0226.jpeg,1,– Signed Guitar,,False,Signed Guitar,,,,,,,,,,,,,,,
,ac-dc-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-07%20-%20AC_DC%20-%2019a60310/IMG_0227.jpeg,2,– Signed Guitar,,,,,,,,,,,,,,,,,,
,ac-dc-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-07%20-%20AC_DC%20-%2019a60310/IMG_0228.jpeg,3,– Signed Guitar,,,,,,,,,,,,,,,,,,
,ac-dc-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-07%20-%20AC_DC%20-%2019a60310/IMG_0229.jpeg,4,– Signed Guitar,,,,,,,,,,,,,,,,,,
,ac-dc-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars-coa-jpg/pictures/2025-11-18%20-%20AC%20DC%20-%2019a97c6f/doc20251118102055_page1.jpg,5,– Signed Guitar,,,,,,,,,,,,,,,,,,
,ac-dc-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars-coa-jpg/pictures/2025-11-18%20-%20AC%20DC%20-%2019a97c6f/doc20251118102055_page2.jpg,6,– Signed Guitar,,,,,,,,,,,,,,,,,,
,ac-dc-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars-coa-jpg/pictures/2025-11-18%20-%20AC%20DC%20-%2019a97c6f/doc20251118102055_page3.jpg,7,– Signed Guitar,,,,,,,,,,,,,,,,,,
Aerosmith Signed Guitar,aerosmith-signed-guitar,<p><strong> – Signed Guitar</strong></p><p>Gallery includes instrument photos followed by COA images.</p>,Heal The World,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Guitars,Signed Guitar,"Aerosmith; Takamine; G Series Acoustic, category:guitars",True,Active,GTR-0005,,,,,,,,,,,50000.0,,,True,,,,,,shopify,1.0,DENY,,,True,manual,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-13%20-%20Aerosmith%20-%2019a7dfdb/IMG_0273.jpeg,1,– Signed Guitar,,False,Signed Guitar,,,,,,,,,,,,,,,
,aerosmith-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-13%20-%20Aerosmith%20-%2019a7dfdb/IMG_0274.jpeg,2,– Signed Guitar,,,,,,,,,,,,,,,,,,
,aerosmith-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-13%20-%20Aerosmith%20-%2019a7dfdb/IMG_0275.jpeg,3,– Signed Guitar,,,,,,,,,,,,,,,,,,
,aerosmith-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-13%20-%20Aerosmith%20-%2019a7dfdb/IMG_0276.jpeg,4,– Signed Guitar,,,,,,,,,,,,,,,,,,
,aerosmith-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars-coa-jpg/pictures/2025-11-17%20-%20Aerosmith%20-%2019a927c7/doc20251117094205_page1.jpg,5,– Signed Guitar,,,,,,,,,,,,,,,,,,
Alice Cooper Signed Guitar,alice-cooper-signed-guitar,<p><strong> – Signed Guitar</strong></p><p>Gallery includes instrument photos followed by COA images.</p>,Heal The World,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Guitars,Signed Guitar,"Alice Cooper; Danelectro, category:guitars",True,Active,GTR-0006,,,,,,,,,,,50000.0,,,True,,,,,,shopify,1.0,DENY,,,True,manual,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-03%20-%20Alice%20Cooper%20%231%20-%2019a4af43/IMG_0180.jpeg,1,– Signed Guitar,,False,Signed Guitar,,,,,,,,,,,,,,,
,alice-cooper-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-03%20-%20Alice%20Cooper%20%231%20-%2019a4af43/IMG_0181.jpeg,2,– Signed Guitar,,,,,,,,,,,,,,,,,,
,alice-cooper-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-03%20-%20Alice%20Cooper%20%231%20-%2019a4af43/IMG_0182.jpeg,3,– Signed Guitar,,,,,,,,,,,,,,,,,,
,alice-cooper-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars-coa-jpg/pictures/2025-11-17%20-%20Alice%20Cooper%20-%2019a92b29/doc20251117103810_page1.jpg,4,– Signed Guitar,,,,,,,,,,,,,,,,,,
,alice-cooper-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars-coa-jpg/pictures/2025-11-17%20-%20Alice%20Cooper%20-%2019a92b29/doc20251117103810_page2.jpg,5,– Signed Guitar,,,,,,,,,,,,,,,,,,
Allman Brothers Signed Guitar,allman-brothers-signed-guitar,<p><strong> – Signed Guitar</strong></p><p>Gallery includes instrument photos followed by COA images.</p>,Heal The World,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Guitars,Signed Guitar,"Allman Brothers; Fender; Squier Tele, category:guitars",True,Active,GTR-0007,,,,,,,,,,,40000.0,,,True,,,,,,shopify,1.0,DENY,,,True,manual,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-03%20-%20Fwd_%20Allman%20Brothers%20-%2019a4b6bc/IMG_1378.jpg,1,– Signed Guitar,,False,Signed Guitar,,,,,,,,,,,,,,,
,allman-brothers-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-03%20-%20Fwd_%20Allman%20Brothers%20-%2019a4b6bc/IMG_1379.jpg,2,– Signed Guitar,,,,,,,,,,,,,,,,,,
,allman-brothers-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-03%20-%20Fwd_%20Allman%20Brothers%20-%2019a4b6bc/IMG_1380.jpg,3,– Signed Guitar,,,,,,,,,,,,,,,,,,
,allman-brothers-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars/pictures/2025-11-03%20-%20Fwd_%20Allman%20Brothers%20-%2019a4b6bc/IMG_1381.jpg,4,– Signed Guitar,,,,,,,,,,,,,,,,,,
,allman-brothers-signed-guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pub-5246de9bd3954290a2919f782898af78.r2.dev/guitars-coa-jpg/pictures/2025-11-17%20-%20All%20man%20Brothers%20-%2019a927e7/doc20251117094449_page1.jpg,5,– Signed Guitar,,,,,,,,,,,,,,,,,,
